id,name,desc,imagefilename
1,"Cremin, Beahan and Roberts","Dislocation of C7/T1 cervical vertebrae, sequela",http://dummyimage.com/238x146.jpg/ff4444/ffffff
2,Baumbach-Nitzsche,"Toxic effect of venom of snake, intentional self-harm, init",http://dummyimage.com/240x225.bmp/ff4444/ffffff
3,"Shanahan, Hoeger and Lind","Unsp nondisp fx of sixth cervcal vert, 7thK",http://dummyimage.com/106x250.png/ff4444/ffffff
4,"Fadel, Walter and O'Connell",Fracture of other and unspecified tarsal bone(s),http://dummyimage.com/161x193.jpg/cc0000/ffffff
5,Willms Group,"Corros 1st deg of unsp site left lower limb, ex ank/ft, sqla",http://dummyimage.com/146x204.jpg/dddddd/000000
6,Haley-Feest,"Dislocation of distal radioulnar joint of left wrist, init",http://dummyimage.com/134x216.png/ff4444/ffffff
7,"Weimann, Borer and Volkman","Underdosing of anticholinesterase agents, sequela",http://dummyimage.com/131x126.jpg/ff4444/ffffff
8,"Hand, Jaskolski and Hettinger",Other mast cell activation disorder,http://dummyimage.com/238x173.bmp/dddddd/000000
9,"Towne, Turcotte and Lakin",Varicose veins of l low extrem w ulcer oth part of foot,http://dummyimage.com/131x142.jpg/5fa2dd/ffffff
10,Watsica-Kutch,"Oth fx upr end unsp ulna, 7thF",http://dummyimage.com/181x230.jpg/dddddd/000000
11,Wilderman LLC,Frostbite with tissue necrosis of hip and thigh,http://dummyimage.com/148x166.png/dddddd/000000
12,"Feeney, Howell and Reilly","Nondisp fx of olecran pro w/o intartic extn r ulna, 7thM",http://dummyimage.com/188x187.jpg/cc0000/ffffff
13,Hilpert Group,"Poisoning by other antidepressants, undetermined, sequela",http://dummyimage.com/243x112.png/ff4444/ffffff
14,Conroy Inc,"Laceration with foreign body, unspecified foot, init encntr",http://dummyimage.com/244x109.jpg/ff4444/ffffff
15,Littel and Sons,Displaced unsp condyle fracture of lower end of left femur,http://dummyimage.com/185x226.png/ff4444/ffffff
16,"Eichmann, Thiel and Walsh","Abrasion, left knee, initial encounter",http://dummyimage.com/129x226.jpg/cc0000/ffffff
17,Ullrich Inc,"Striking against other stationary object, subs encntr",http://dummyimage.com/116x145.bmp/ff4444/ffffff
18,Schinner and Sons,Individual with autosomal fragile site,http://dummyimage.com/111x138.bmp/cc0000/ffffff
19,Hauck-Kunze,"Pressure ulcer of left buttock, stage 1",http://dummyimage.com/112x104.bmp/cc0000/ffffff
20,Russel-Bogisich,"Vertical strabismus, left eye",http://dummyimage.com/130x136.jpg/dddddd/000000
21,Kris-Bins,"Poisoning by pertussis vaccine, inc combin w pertuss, acc",http://dummyimage.com/126x189.png/cc0000/ffffff
22,Carroll-Hamill,"Nondisp subtrochnt fx right femur, init for opn fx type I/2",http://dummyimage.com/117x187.jpg/ff4444/ffffff
23,Frami-Berge,Eumycetoma,http://dummyimage.com/108x206.jpg/ff4444/ffffff
24,Barton-McKenzie,"Poisoning by oth antidepressants, undetermined, subs encntr",http://dummyimage.com/101x158.bmp/cc0000/ffffff
25,Reichert-Funk,Newborn affected by other maternal conditions,http://dummyimage.com/212x179.png/5fa2dd/ffffff
26,Hills and Sons,"Poisoning by ganglionic blocking drugs, self-harm, sequela",http://dummyimage.com/175x199.jpg/ff4444/ffffff
27,Brekke and Sons,"Subluxation of C3/C4 cervical vertebrae, sequela",http://dummyimage.com/214x123.png/5fa2dd/ffffff
28,"Baumbach, Rosenbaum and Williamson","Milt op involving explosion of marine mine, civilian, init",http://dummyimage.com/218x157.png/dddddd/000000
29,"Walsh, Streich and Mann","Path fx in oth disease, unsp foot, subs for fx w routn heal",http://dummyimage.com/189x226.png/cc0000/ffffff
30,Hamill-Ratke,Driver injured in collision w oth mv in nontraffic accident,http://dummyimage.com/122x104.bmp/dddddd/000000
31,Macejkovic LLC,Pulmonary collapse,http://dummyimage.com/113x121.bmp/dddddd/000000
32,Gutkowski LLC,"Insect bite (nonvenomous), right great toe, sequela",http://dummyimage.com/226x241.png/5fa2dd/ffffff
33,"Kling, Lindgren and Rolfson","Injury of ulnar nerve at wrs/hnd lv of unsp arm, sequela",http://dummyimage.com/120x247.bmp/dddddd/000000
34,Fay-Kris,"Oth intartic fx lower end r rad, subs for clos fx w nonunion",http://dummyimage.com/242x201.png/dddddd/000000
35,Hauck Group,Congenital pneumonia due to other organisms,http://dummyimage.com/219x225.png/ff4444/ffffff
36,Shanahan-Doyle,Urinary tract infection fol an ectopic and molar pregnancy,http://dummyimage.com/228x187.jpg/dddddd/000000
37,"Abshire, Klein and Littel","Ped on sktbrd injured in clsn w pedl cyc nontraf, sequela",http://dummyimage.com/222x144.jpg/ff4444/ffffff
38,Heller-Krajcik,"Migraine, unspecified",http://dummyimage.com/136x191.bmp/dddddd/000000
39,"Wehner, Hermann and Hintz","Displ suprcndl fx w/o intrcndl extn low end unsp femr, 7thQ",http://dummyimage.com/134x120.bmp/cc0000/ffffff
40,Pacocha-Predovic,"Wedge comprsn fx unsp thor vert, subs for fx w routn heal",http://dummyimage.com/232x232.bmp/5fa2dd/ffffff
41,"Murazik, Muller and Zulauf",Raynaud's syndrome with gangrene,http://dummyimage.com/219x150.bmp/ff4444/ffffff
42,"Mayert, Orn and Beier",Unspecified superficial injury of unspecified hip,http://dummyimage.com/242x246.bmp/dddddd/000000
